,hourly_dayahead_dol_per_kwh,realtime_production_kwh,realtime_supplied_kwh,solar_production_kwh,electrolyser_consumption_kwh,compressor_consumption_kwh,liquefaction_consumption_kwh,electrolyser_produced_kg,compressor_produced_kg,liquefaction_produced_kg,compress_to_liquefaction,fuel_cell_consumed_kg,gh2_storage_level_kg,gh2_storage_net_inflow,gh2_storge_inflow_kg,gh2_storage_outflow_kg
0,0.0201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.019620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.01921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.018789999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.02068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.02208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.02334,0.0,0.0,3.1710079275198186,2.5276150146897103,0.18382654652288802,0.45956636630722014,0.045956636630722004,0.045956636630722004,0.04595663663072201,0.0,0.0,0.0,0.0,0.04595663663072201,0.04595663663072201
8,0.02411,0.0,0.0,38.05209513023783,32.53641207172758,2.3662845143074605,3.149398544202792,0.5915711285768651,0.5915711285768651,0.31493985442027916,0.0,0.0,0.0,0.27663127415658595,0.5915711285768651,0.31493985442027916
9,0.02407,0.0,0.0,103.37534729581418,90.92349850092153,6.612618072794293,5.839230722098363,1.6531545181985732,1.6531545181985732,0.5839230722098363,0.0,0.0,0.2766312741565859,1.0692314459887369,1.6531545181985732,0.5839230722098363
10,0.024300000000000002,0.0,0.0,106.06517947370975,90.92349850092153,6.612618072794293,8.529062899993935,1.6531545181985732,1.6531545181985732,0.8529062899993934,0.0,0.0,1.3458627201453228,0.8002482281991797,1.6531545181985732,0.8529062899993934
11,0.02513,0.0,0.0,108.75501165160532,90.92349850092153,6.612618072794293,11.218895077889506,1.6531545181985732,1.6531545181985732,1.1218895077889506,0.0,0.0,2.1461109483445027,0.5312650104096226,1.6531545181985732,1.1218895077889506
12,0.02413,0.0,0.0,110.98527746319367,90.92349850092153,6.612618072794293,13.449160889477856,1.6531545181985732,1.6531545181985732,1.3449160889477856,0.0,0.0,2.6773759587541255,0.3082384292507876,1.6531545181985732,1.3449160889477856
13,0.022850000000000002,0.0,0.0,108.2954452852981,90.92349850092153,6.612618072794293,10.759328711582285,1.6531545181985732,1.6531545181985732,1.0759328711582286,1.0759328711582286,0.0,2.985614388004912,0.5772216470403446,0.5772216470403446,0.0
14,0.02277,0.0,0.0,105.60561310740253,90.92349850092153,6.612618072794293,8.069496533686713,1.6531545181985732,1.6531545181985732,0.8069496533686714,0.8069496533686714,0.0,3.562836035045257,0.8462048648299034,0.8462048648299034,0.0
15,0.02256,0.0,0.0,78.82219705549264,68.46337794039971,4.979154759301797,5.379664355791142,1.2447886898254492,1.2447886898254492,0.5379664355791143,0.5379664355791143,0.0,4.40904089987516,0.7068222542463348,0.7068222542463348,0.0
16,0.02345,0.0,0.0,24.009060022650054,19.873856465449094,1.4453713793053886,2.689832177895571,0.36134284482634715,0.36134284482634715,0.26898321778955714,0.0,0.0,5.115863154121495,0.09235962703679002,0.36134284482634715,0.26898321778955714
17,0.03058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208222781158286,0.0,0.0,0.0
18,0.03406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208222781158286,0.0,0.0,0.0
19,0.0294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208222781158286,0.0,0.0,0.0
20,0.02767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208222781158286,0.0,0.0,0.0
21,0.02605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208222781158286,0.0,0.0,0.0
22,0.02431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208222781158286,0.0,0.0,0.0
23,0.02308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208222781158286,0.0,0.0,0.0
24,0.02281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208222781158286,0.0,0.0,0.0
25,0.02233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208222781158286,0.0,0.0,0.0
26,0.02231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208222781158286,0.0,0.0,0.0
27,0.02191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208222781158286,0.0,0.0,0.0
28,0.023579999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208222781158286,0.0,0.0,0.0
29,0.02687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208222781158286,0.0,0.0,0.0
