Date,price,zone
1/1/2019 11:00:00 AM,25.370000,LZ_NORTH
1/1/2019 11:00:00 AM,25.350000,LZ_RAYBN
1/1/2019 11:00:00 AM,25.890000,LZ_SOUTH
1/1/2019 11:00:00 AM,28.040000,LZ_WEST
1/1/2019 12:00:00 PM,24.570000,LZ_AEN
1/1/2019 12:00:00 PM,23.950000,LZ_CPS
1/1/2019 12:00:00 PM,24.130000,LZ_HOUSTON
1/1/2019 12:00:00 PM,24.060000,LZ_LCRA
1/1/2019 12:00:00 PM,24.210000,LZ_NORTH
1/1/2019 12:00:00 PM,24.200000,LZ_RAYBN
1/1/2019 12:00:00 PM,24.020000,LZ_SOUTH
1/1/2019 12:00:00 PM,26.840000,LZ_WEST
1/1/2019 1:00:00 PM,23.440000,LZ_AEN
1/1/2019 1:00:00 PM,22.660000,LZ_CPS
1/1/2019 1:00:00 PM,22.850000,LZ_HOUSTON
1/1/2019 1:00:00 PM,22.780000,LZ_LCRA
1/1/2019 1:00:00 PM,22.900000,LZ_NORTH
1/1/2019 1:00:00 PM,22.890000,LZ_RAYBN
1/1/2019 1:00:00 PM,22.760000,LZ_SOUTH
1/1/2019 1:00:00 PM,25.520000,LZ_WEST
1/1/2019 2:00:00 PM,23.160000,LZ_AEN
1/1/2019 2:00:00 PM,22.540000,LZ_CPS
1/1/2019 2:00:00 PM,22.770000,LZ_HOUSTON
1/1/2019 2:00:00 PM,22.680000,LZ_LCRA
1/1/2019 2:00:00 PM,22.900000,LZ_NORTH
1/1/2019 2:00:00 PM,22.900000,LZ_RAYBN
1/1/2019 2:00:00 PM,22.580000,LZ_SOUTH
1/1/2019 2:00:00 PM,26.510000,LZ_WEST
1/1/2019 3:00:00 PM,22.900000,LZ_AEN
1/1/2019 3:00:00 PM,22.200000,LZ_CPS
1/1/2019 3:00:00 PM,22.560000,LZ_HOUSTON
1/1/2019 3:00:00 PM,22.400000,LZ_LCRA
1/1/2019 3:00:00 PM,22.790000,LZ_NORTH
1/1/2019 3:00:00 PM,22.800000,LZ_RAYBN
1/1/2019 3:00:00 PM,22.250000,LZ_SOUTH
1/1/2019 3:00:00 PM,29.110000,LZ_WEST
1/1/2019 4:00:00 PM,23.830000,LZ_AEN
1/1/2019 4:00:00 PM,23.010000,LZ_CPS
1/1/2019 4:00:00 PM,23.450000,LZ_HOUSTON
1/1/2019 4:00:00 PM,23.250000,LZ_LCRA
1/1/2019 4:00:00 PM,23.730000,LZ_NORTH
1/1/2019 4:00:00 PM,23.740000,LZ_RAYBN
1/1/2019 4:00:00 PM,23.130000,LZ_SOUTH
1/1/2019 4:00:00 PM,31.750000,LZ_WEST
1/1/2019 5:00:00 PM,30.980000,LZ_AEN
1/1/2019 5:00:00 PM,29.600000,LZ_CPS
1/1/2019 5:00:00 PM,30.580000,LZ_HOUSTON
1/1/2019 5:00:00 PM,30.080000,LZ_LCRA
